id,author,text,like_count,timestamp,parent,commentaire,label,score,cues_pos_words,cues_neg_words,cues_pos_emoji,cues_neg_emoji,cues_laugh
UgzNQTfkYILSBLn9gxR4AaABAg,@IdilAbdillahi-cx1uh,❤❤❤❤❤osman,0,1758805200,root,@IdilAbdillahi-cx1uh ❤❤❤❤❤osman,positif,4.0,,,5,0,0
Ugxaeun3VYBSgg_t_NF4AaABAg,@polomono6326,Pwahahhaha le football c'est terminé.,0,1758801600,root,@polomono6326 Pwahahhaha le football c'est terminé.,positif,0.6,,,0,0,2
UgxtYhphKx1D4KuytUx4AaABAg,@zhahahaha1,Pense à nettoyer ton appart de temps en temps Ousmane. En Allemagne tu n'as pas laissé que des bons souvenirs 😂,0,1758801600,root,@zhahahaha1 Pense à nettoyer ton appart de temps en temps Ousmane. En Allemagne tu n'as pas laissé que des bons souvenirs 😂,positif,0.8999999999999999,,,0,0,3
UgyeI9oLrRXgpKpZkzJ4AaABAg,@isaacmouanga6785,❤,0,1758798000,root,@isaacmouanga6785 ❤,positif,0.8,,,1,0,0
UgxJqs3JWxkQqnKVWVB4AaABAg,@MauriceYengoVala-Ki-Sisa,Sa femme n'a pas été remerciée. Bizarre ! Peut-être que sa femme ne l'a pas voulu !!!???!!.,0,1758798000,root,@MauriceYengoVala-Ki-Sisa Sa femme n'a pas été remerciée. Bizarre ! Peut-être que sa femme ne l'a pas voulu !!!???!!.,neutre,0.0,,,0,0,0
Ugz935GyW7_4i8Nis814AaABAg,@bensoussanrudy15,"Mbappé : imbus de sa personne, qui croit que c’est la 8 ieme merveille du monde pas de ballon d’or 

Dembele : humble drôle et gentil résultat ballon d’or",0,1758790800,root,"@bensoussanrudy15 Mbappé : imbus de sa personne, qui croit que c’est la 8 ieme merveille du monde pas de ballon d’or 

Dembele : humble drôle et gentil résultat ballon d’or",neutre,0.0,,,0,0,0
Ugxbqk7ZSQjAEcrfug14AaABAg,@muchammadfaisal1031,❤❤❤ From Indonesia Ousmane,0,1758787200,root,@muchammadfaisal1031 ❤❤❤ From Indonesia Ousmane,positif,2.4000000000000004,,,3,0,0
Ugzchb9vdaDyfrHlc-J4AaABAg,@cheikhfall3964,La maman de Dembelé ne rit pas😅,0,1758783600,root,@cheikhfall3964 La maman de Dembelé ne rit pas😅,neutre,0.0,,,0,0,0
UgzN5699DpIm-X_2-X54AaABAg,@oussoustim,Dembele ballon d'or 🎉🎉🎉🎉 totalement mérité ❤❤❤❤❤,0,1758780000,root,@oussoustim Dembele ballon d'or 🎉🎉🎉🎉 totalement mérité ❤❤❤❤❤,positif,8.2,merite,,9,0,0
UgwEYlcJb7BB79fAXRZ4AaABAg,@ffxivonline5864,"Apparemment il n'est pas français, ça mère dit que c'est l'Afrique qui gagne 🤷 a mon avis si il n'avait jamais vécu en Europe il serait entrain de jouer sur des terrains boueux et inconnus du publique, c'est comme ça que ces gens nous remercie",0,1758780000,root,"@ffxivonline5864 Apparemment il n'est pas français, ça mère dit que c'est l'Afrique qui gagne 🤷 a mon avis si il n'avait jamais vécu en Europe il serait entrain de jouer sur des terrains boueux et inconnus du publique, c'est comme ça que ces gens nous remercie",neutre,0.0,,,0,0,0
UgzlmjlhLyZgkQI6rG54AaABAg,@Igris-e7t,"Le pauvre yamal peut être une prochaine fois, ce n'était pas son tour 😊",1,1758762000,root,"@Igris-e7t Le pauvre yamal peut être une prochaine fois, ce n'était pas son tour 😊",positif,0.8,,,1,0,0
UgzXhNyMY4E7x8dgV0Z4AaABAg,@sunnahdiakho2086,j'ai failli pleure non j'ai pleure,1,1758762000,root,@sunnahdiakho2086 j'ai failli pleure non j'ai pleure,neutre,0.0,,,0,0,0
