id,author,text,like_count,timestamp,parent
UgzNQTfkYILSBLn9gxR4AaABAg,@IdilAbdillahi-cx1uh,❤❤❤❤❤osman,0,1758805200,root
Ugxaeun3VYBSgg_t_NF4AaABAg,@polomono6326,Pwahahhaha le football c'est terminé.,0,1758801600,root
UgxtYhphKx1D4KuytUx4AaABAg,@zhahahaha1,Pense à nettoyer ton appart de temps en temps Ousmane. En Allemagne tu n'as pas laissé que des bons souvenirs 😂,0,1758801600,root
UgyeI9oLrRXgpKpZkzJ4AaABAg,@isaacmouanga6785,❤,0,1758798000,root
UgxJqs3JWxkQqnKVWVB4AaABAg,@MauriceYengoVala-Ki-Sisa,Sa femme n'a pas été remerciée. Bizarre ! Peut-être que sa femme ne l'a pas voulu !!!???!!.,0,1758798000,root
Ugz935GyW7_4i8Nis814AaABAg,@bensoussanrudy15,"Mbappé : imbus de sa personne, qui croit que c’est la 8 ieme merveille du monde pas de ballon d’or 

Dembele : humble drôle et gentil résultat ballon d’or",0,1758790800,root
Ugxbqk7ZSQjAEcrfug14AaABAg,@muchammadfaisal1031,❤❤❤ From Indonesia Ousmane,0,1758787200,root
Ugzchb9vdaDyfrHlc-J4AaABAg,@cheikhfall3964,La maman de Dembelé ne rit pas😅,0,1758783600,root
UgzN5699DpIm-X_2-X54AaABAg,@oussoustim,Dembele ballon d'or 🎉🎉🎉🎉 totalement mérité ❤❤❤❤❤,0,1758780000,root
UgwEYlcJb7BB79fAXRZ4AaABAg,@ffxivonline5864,"Apparemment il n'est pas français, ça mère dit que c'est l'Afrique qui gagne 🤷 a mon avis si il n'avait jamais vécu en Europe il serait entrain de jouer sur des terrains boueux et inconnus du publique, c'est comme ça que ces gens nous remercie",0,1758780000,root
UgzlmjlhLyZgkQI6rG54AaABAg,@Igris-e7t,"Le pauvre yamal peut être une prochaine fois, ce n'était pas son tour 😊",1,1758762000,root
UgzXhNyMY4E7x8dgV0Z4AaABAg,@sunnahdiakho2086,j'ai failli pleure non j'ai pleure,1,1758762000,root
Ugy_MKXHYheOqgaMLqJ4AaABAg,@justiceamour9842,"C'est donc la victoire de la justice qui a triomphé face à une grave injustice subie par Dembélé qui n'était jamais sollicité et recherché normalement  comme cela se fait habituellement envers les attaquants d'une équipe

Voici la seule magnifique leçon de vie à tirer de cette décision Dembélé ballon d'Or. C'est que malgré la crapuleuse et méchante injustice de privation de ballon systématique subies (dans son propre club) à l'encontre de Dembélé (et Barcolat) orchestré très franchement (depuis très longtemps)  par les égoïstes arrivistes assoiffés maladifs de gloire et leadership dont Vitinha (le chef suprême), Nino mendès, HAKIMI et aussi Varacelia s'arrangeant toujours pour que LA DÉTENTION DE BALLE, L'animation de jeux ET LES ACTIONS MÊME FINALES passent essentiellement et en quasi totalité qu'avec EUX ET QUE POUR EUX, SANS JAMAIS SOLLICITER SYSTEMATIQUEMENT, NORMALEMENT, NI MÊME PETITEMENT L'ATTAQUANT DEMBÉLÉ (BARCOLA et DOUÉ). 

C'est ainsi qu'on aperçoit jusqu'à ce jour (dans tous les matchs et les saisons) que Vitinha, Nino Mendez, Hakimi (situés pourtant plus en arrière poste que les attaquants) qu'ils sont les plus souvent (lors de la quasi totalité des actions et jeux offensifs) les plus anormalement sollicités, les plus lancés, les plus trouvés et recherchés QUE LES ATTAQUANTS DEMBELE (BARCOLA et DOUE). 

Si bien que ce ne sont que les très infimes et insignifiantes situations de coïncidence de toucher de balle provenant de contre attaque, pressing, de perte de balle de l'adversaire ou D'ABSCENCE FLAGRANTE DE CHOIX VERS UN AUTRE COÉQUIPIER, qui ont permis à Dembélé (et aussi Barcola et DOUÉ) de montrer son talent. 

Quel aurait donc été le résultat et la performance footballistique démontrée de Dembélé si ces anti-joueurs arrivistes cessaient leurs stratégies de mise au placard et de tuerie de leurs attaquants plus talentueux qu'eux (en les privant de ballon et de bonnes opportunités) ; Ceci dans l'unique but d'espérer que leurs talents à eux (bien moindre) fussent (uniquement) vus à travers de millions de touchers de balles et de conservations égoïstes de ballon (à l'instar de Kvaratskhelia très très personnel, de Mendès, Hakimi et Vitinha le cerveau de cette stratégie, le propriétaire de ballon et l'assoiffé de gloire). 

AINSI EN PRIVANT DEMBELE DE NOMBREUSES ACTIONS ET DE BALLON, LES COÉQUIPIERS ANTI-JOUEURS ONT INCITÉ LA VRAIE JUSTICE QUI S'IMMISCE DANS TOUT, QUI SE RÉVÈLE ET SE GLORIFIE EN SON FILS EXPIATOIRE ET QUI RÉTRIBUE TÔT OU TARD, QUI A DONNÉ LE BALLON D'OR A DEMBÉLÉ, TANDIS QUE CELUI-CI EST CONSCIENT D'AVOIR MOINS PERFORMER INDIVIDUELLEMENT PAR RAPPORT À SON TALENT CONNU (même si toutefois aucun challenger de ce ballon d'or, (AYANT REMPORTÉ TOUTES LES COMPÉTITIONS COMME DEMBÉLÉ L'A FAIT), N'A NULLEMENT ÉTÉ AUSSI PERFORMANT DANS LA CONSTANCE QUE LUI (DEMBÉLÉ). La justice personnifiée a créé les conditions de la juste RÉTRIBUTION comme lorsque Paris gagne quasiment tout et ses plus grands challenges et EXPLOITS tout juste après le départ avec mépris d'MBAPPÉ mais beaucoup d'enthousiasme débordant arboré vis-à-vis du Réal, déifiant presque le club à haute voix et se voyait déjà champion de tout,  loin devant un PSG très décrié laissé en ruine.

En ce sens le puissant dicton est vrai : ""La course, la victoire ou la couronne n'appartient pas au plus agile, au plus filou, au plus déluré et encore moins aux malhonnêtes joueurs égoïstes boycottant et fuyant du ballon leurs attaquants plus talentueux qu'eux, en vue de les éteindre"".",0,1758754800,root
UgwT9LXOCrygug0dGvV4AaABAg,@donduciel148,Félicitations  Dembele.TU le mérites ce bellon d'or  Que Dieu te benisse davantage,0,1758754800,root
